TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_26.jpeg,did not like,3.613205605
2,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_11.jpeg,did not like,4.988446431
3,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_24.jpeg,did not like,3.470791822
4,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_20.jpeg,did not like,3.820572462
5,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_7.jpeg,did not like,2.455989137
6,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_28.jpeg,did not like,3.79605092
7,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_15.jpeg,did not like,3.562416326
8,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_18.jpeg,liked,2.843822497
9,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_1.jpeg,did not like,3.546495948
10,Sam,Rej,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_13.jpeg,did not like,1.672012706
