TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_26.jpeg,did not like,3.613205605
2,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_17.jpeg,liked,4.988446431
3,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_28.jpeg,liked,3.470791822
4,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_2.jpeg,did not like,3.820572462
5,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_4.jpeg,did not like,2.455989137
6,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_22.jpeg,liked,3.79605092
7,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_1.jpeg,liked,3.562416326
8,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_11.jpeg,liked,2.843822497
9,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_19.jpeg,liked,3.546495948
10,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_8.jpeg,liked,1.672012706
11,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_14.jpeg,liked,4.942172136
12,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_3.jpeg,liked,2.50187214
13,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_9.jpeg,did not like,2.071164779
14,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_23.jpeg,did not like,5.336503566
15,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_13.jpeg,liked,2.642157193
16,Taylor,Acc,/Users/melanieruiz/Desktop/9_28_desktop/Participant_TaskFolder/data/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_21.jpeg,did not like,4.456234322
